id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10718575,Cozy room on the main street in Baglarbasi Uskudar,23686683,Sibel,,Uskudar,41.02381,29.03842,Private room,81,2,1,2016-04-23,0.02,1,362
10720013,"Bahçelievler, For Erasmus Students",30053899,Mustafa,,Bahcelievler,41.00768,28.87417,Private room,109,1,0,,,1,365
10727404,Room walking distance to Taksim,55443211,Ugur,,Beyoglu,41.03548,28.97115,Private room,69,1,1,2016-01-23,0.02,1,0
10735787,Family rooms very near Taksim,55495122,Ferhan,,Beyoglu,41.03619,28.98436,Private room,1037,1,1,2018-10-23,0.05,2,365
10735817,Taximist Room for 4 person,55495122,Ferhan,,Beyoglu,41.03885,28.98249,Hotel room,450,1,0,,,2,365
10739332,Feel free to make yourself at home,55359232,Asli,,Beyoglu,41.03087,28.98394,Private room,123,1,0,,,1,365
10742116,"Nişantaşı, safe, quality area.Very close to metro.",19354362,Enis,,Sisli,41.05287,28.99333,Entire home/apt,539,5,9,2020-01-18,0.25,7,362
10770892,Balatta Sıfır Şık Daire,55709721,Ali Can,,Fatih,41.03278,28.94367,Entire home/apt,407,1,0,,,1,365
10777387,"Family Apartment, Grand Bazaar Area 4 Guest",33104525,Yavuz,,Fatih,41.00504,28.96576,Entire home/apt,225,1,67,2020-02-19,1.30,11,361
10777741,Ortak alanlı banyolu 4 oda,55754246,Başar,,Sisli,41.0517,28.98862,Private room,448,1,0,,,1,365
10782351,City View Apartment,3938375,Orhan,,Beyoglu,41.0356,28.98696,Entire home/apt,259,1,2,2019-08-10,0.07,7,365
10788753,Flat at galata tower 3 minutes,31963775,Evren,,Beyoglu,41.02955,28.97057,Private room,89,1,4,2018-03-15,0.08,12,365
10799889,Family friendly hotel in old city of Istanbul,55786485,Kadir,,Fatih,41.00199,28.9739,Private room,525,2,0,,,2,365
10803293,Very Silent Location,55882512,Mesut,,Uskudar,41.0403,29.07287,Private room,272,2,0,,,1,89
10805700,Misafir Odası,55935625,Halit,,Umraniye,40.99783,29.13605,Private room,172,1,0,,,1,0
10818606,COZY ECONOMY ROOMS B&B,16410957,Berker,,Fatih,41.01348,28.97659,Private room,373,1,5,2020-01-26,0.12,1,365
10819594,istanbulun tarihi yarım adasındayız,56021130,Faruk,,Fatih,41.01664,28.92566,Private room,75,1,0,,,1,267
10841236,airbnb,56149382,Fikret,,Basaksehir,41.08735,28.65388,Shared room,122,1,0,,,1,365
10843981,RAMONA BOSPHORUS BEŞİKTAŞ FLAT 6,27726017,Ismail,,Besiktas,41.0437,29.00177,Entire home/apt,197,1,22,2020-04-30,0.43,6,1
